,Catcher,Framing Runs,Left Side Strike %,Right Side Strike %,Num. Pitches
0,Jake Green,7.875,63.970588235294116,60.50420168067227,2624
1,Jordan Siket,5.875,61.39240506329114,56.470588235294116,2411
2,Jimmy Costin,4.125,76.62337662337663,42.857142857142854,1218
3,Dakota Phillips,4.125,59.68992248062015,52.666666666666664,2425
4,Sicnarf Loopstok,3.375,70.1863354037267,33.89830508474576,2850
5,Oscar Campos,2.75,50.51546391752577,59.813084112149525,2494
6,Zade Richardson,2.0,39.53488372093023,59.55555555555555,3788
7,Jc Santini,1.5,55.172413793103445,47.94520547945205,2980
8,Victor Cerny,1.0,43.292682926829265,60.71428571428571,2846
9,Blake Grant-parks,0.875,59.3939393939394,42.94117647058823,3228
10,Melvin Novoa,0.375,43.24324324324324,59.82905982905983,2355
11,Alex Hernandez,0.25,29.166666666666668,63.59649122807017,3694
12,Willie Estrada,0.125,32.608695652173914,66.44295302013423,2835
13,Rusber Estrada,0.125,52.5,48.19277108433735,1772
14,Tyler Blaum,-0.25,44.0,54.90196078431373,2040
15,John Fiorenza,-0.5,59.0,35.526315789473685,1981
16,Jason Agresti,-0.5,46.62162162162162,52.112676056338024,3287
17,Cooper Edwards,-1.0,31.428571428571427,62.5,1511
18,Zach Whalin,-1.0,40.42553191489361,54.46428571428571,2001
19,Jackson Pritchard,-1.0,55.970149253731336,41.42857142857143,2638
20,Ricardo Sanchez,-1.0,46.666666666666664,51.42857142857142,2380
21,Jakob Goldfarb,-1.375,35.77981651376147,57.35294117647059,2433
22,Justin Mazzone,-1.375,37.03703703703704,51.89873417721519,1335
23,Matt Morgan,-1.875,47.41379310344828,49.30875576036866,3762
24,Michael Gulino,-2.25,44.18604651162791,46.07843137254902,1839
25,Phillip Steering,-2.375,46.0,47.58620689655172,2860
26,Oscar Hernandez,-2.875,31.666666666666664,65.67164179104478,1697
27,Jonathan Waite,-3.0,47.40740740740741,43.609022556390975,2656
28,Mitsuki Fukuda,-3.25,49.411764705882355,34.93975903614458,1666
29,John Tuccillo,-3.625,53.84615384615385,40.98360655737705,4014
30,Joe Deluca,-3.875,57.23905723905723,35.76923076923077,5202
31,Jp Fullerton,-4.0,30.76923076923077,53.77358490566038,2052
32,Ruben Castro,-10.5,39.16083916083916,33.33333333333333,3009
